Date,Open,High,Low,Close,Volume,Adj Close
2016-06-06,117.199997,117.720001,115.169998,117.529999,632700,117.23153
2016-06-03,117.419998,117.870003,115.32,115.919998,558200,115.625618
2016-06-02,114.529999,117.279999,113.800003,117.230003,885300,116.932296
2016-06-01,116.279999,116.330002,114.50,115.889999,802100,115.595695
2016-05-31,118.550003,119.199997,115.699997,116.279999,1187400,115.984704
2016-05-27,117.739998,117.93,115.580002,117.849998,847300,117.550717
2016-05-26,119.800003,120.440002,118.139999,118.540001,904600,118.238967
2016-05-25,118.989998,119.599998,117.099998,118.389999,1104900,118.089346
2016-05-24,118.32,118.419998,116.50,117.519997,828800,117.221553
2016-05-23,115.769997,117.879997,115.059998,117.269997,632700,116.972188
2016-05-20,116.25,117.739998,114.419998,117.339996,613800,117.04201
2016-05-19,114.209999,115.739998,112.809998,115.419998,1069000,115.126887
2016-05-18,115.870003,118.099998,115.00,116.120003,736200,115.825114
2016-05-17,116.510002,117.830002,115.07,116.330002,893200,116.03458
2016-05-16,116.330002,118.980003,115.980003,116.43,1028300,116.134325
2016-05-13,114.849998,115.790001,113.669998,113.970001,504600,113.680573
2016-05-12,115.970001,117.660004,113.849998,115.339996,770200,115.047089
2016-05-11,112.940002,116.00,111.949997,114.449997,843400,114.159349
2016-05-10,111.120003,113.349998,110.199997,113.190002,791600,112.822755
2016-05-09,109.540001,111.099998,106.849998,110.459999,1094900,110.101609
2016-05-06,112.970001,114.010002,109.93,110.190002,1409200,109.832489
2016-05-05,109.589996,113.870003,106.830002,113.68,2452600,113.311163
2016-05-04,105.93,107.010002,102.910004,106.150002,1754900,105.805596
2016-05-03,108.099998,108.739998,104.050003,105.370003,1107800,105.028128
2016-05-02,108.739998,112.330002,107.410004,110.349998,1438500,109.991966
2016-04-29,110.25,111.860001,106.919998,108.879997,1140500,108.526734
2016-04-28,111.599998,113.650002,109.519997,109.82,798300,109.463687
2016-04-27,112.769997,115.690002,111.220001,112.57,1176000,112.204764
2016-04-26,107.580002,111.849998,107.019997,111.260002,1331000,110.899017
2016-04-25,107.989998,109.480003,105.339996,106.190002,958400,105.845467
2016-04-22,107.160004,109.489998,106.860001,108.779999,1216400,108.42706
2016-04-21,109.769997,109.959999,106.25,106.82,1163100,106.47342
2016-04-20,107.480003,110.400002,105.660004,109.279999,1072100,108.925438
2016-04-19,109.080002,110.32,107.690002,108.00,1018100,107.649592
2016-04-18,102.110001,108.18,101.040001,107.709999,1039800,107.360532
2016-04-15,107.059998,107.059998,104.50,105.18,942500,104.838742
2016-04-14,107.040001,107.989998,105.639999,107.919998,790800,107.56985
2016-04-13,106.980003,107.120003,104.480003,106.309998,1421800,105.965073
2016-04-12,104.300003,107.800003,102.57,107.040001,1502500,106.692708
2016-04-11,102.610001,103.260002,101.889999,102.919998,1009400,102.586072
2016-04-08,101.379997,102.300003,100.309998,101.599998,810400,101.270355
2016-04-07,97.919998,99.379997,97.610001,99.010002,801600,98.688762
2016-04-06,95.800003,98.900002,94.739998,98.419998,770400,98.100673
2016-04-05,94.160004,95.790001,93.209999,94.93,821000,94.621998
2016-04-04,98.519997,98.610001,94.559998,94.769997,799300,94.462514
2016-04-01,94.830002,98.629997,94.519997,97.760002,1164700,97.442818
2016-03-31,96.110001,98.080002,95.629997,97.269997,1024100,96.954402
2016-03-30,98.739998,99.080002,95.82,96.559998,1255300,96.246707
2016-03-29,93.330002,96.980003,93.00,96.75,772300,96.436093
2016-03-28,95.660004,96.489998,93.68,95.449997,971600,95.140308
2016-03-24,92.309998,96.010002,91.339996,95.620003,1024100,95.309762
2016-03-23,96.190002,97.970001,94.050003,94.470001,931100,94.163491
2016-03-22,95.739998,97.739998,94.730003,97.330002,900200,97.014213
2016-03-21,98.360001,99.470001,95.870003,96.870003,882500,96.555706
2016-03-18,99.300003,100.07,96.309998,98.620003,1715200,98.300028
2016-03-17,98.599998,99.18,97.080002,98.139999,1107200,97.821582
2016-03-16,96.00,97.839996,94.989998,97.25,1508700,96.934471
2016-03-15,92.510002,95.669998,91.940002,95.629997,965700,95.319724
2016-03-14,92.580002,95.099998,92.459999,94.43,832200,94.12362
2016-03-11,93.650002,95.290001,93.230003,94.470001,1677900,94.163491
2016-03-10,91.849998,91.93,89.040001,91.690002,1231400,91.392512
2016-03-09,93.32,93.470001,89.75,92.699997,1323500,92.39923
2016-03-08,94.190002,94.75,90.290001,90.739998,1836000,90.44559
2016-03-07,90.480003,95.50,90.279999,95.470001,2238100,95.160247
2016-03-04,89.099998,93.300003,86.080002,90.650002,2276100,90.355886
2016-03-03,89.010002,91.029999,87.360001,88.089996,1505200,87.804187
2016-03-02,85.690002,89.93,85.190002,89.860001,1502500,89.568448
2016-03-01,84.75,86.07,81.800003,85.959999,1639800,85.6811
2016-02-29,86.230003,86.519997,83.970001,84.029999,1447500,83.757362
2016-02-26,86.510002,87.190002,84.650002,85.580002,1105500,85.302336
2016-02-25,84.360001,86.209999,81.080002,84.529999,1823300,84.25574
2016-02-24,84.040001,86.360001,82.260002,84.879997,1534200,84.604602
2016-02-23,86.379997,88.580002,85.739998,86.269997,1400000,85.990092
2016-02-22,87.400002,88.660004,86.050003,87.900002,1195700,87.614808
2016-02-19,81.260002,85.779999,80.019997,85.580002,1969400,85.302336
2016-02-18,86.00,86.00,80.190002,82.599998,2206600,82.332001
2016-02-17,82.040001,85.940002,75.010002,84.690002,4837800,84.415224
2016-02-16,86.639999,86.669998,82.519997,84.279999,2012300,84.006551
2016-02-12,83.970001,86.57,81.349998,84.669998,1541600,84.395285
2016-02-11,81.440002,82.110001,77.620003,81.160004,1916800,80.896678
2016-02-10,81.769997,85.75,80.510002,83.370003,1718700,83.099507
2016-02-09,84.029999,85.050003,80.989998,81.949997,1271200,81.524626
2016-02-08,82.940002,86.080002,81.00,85.410004,1257000,84.966674
2016-02-05,87.519997,88.080002,83.940002,84.870003,1447400,84.429476
2016-02-04,90.459999,92.610001,88.550003,88.669998,1460800,88.209747
2016-02-03,86.089996,89.639999,83.980003,89.559998,1362800,89.095126
2016-02-02,84.290001,86.459999,83.690002,84.389999,1703500,83.951964
2016-02-01,90.800003,91.410004,86.309998,87.230003,1748400,86.777226
2016-01-29,89.309998,93.00,89.309998,93.00,1836000,92.517273
2016-01-28,90.50,91.239998,86.830002,88.879997,2394400,88.418656
2016-01-27,80.980003,85.550003,79.739998,84.519997,2325900,84.081286
2016-01-26,77.910004,81.50,74.769997,81.370003,1593200,80.947643
2016-01-25,82.389999,84.50,75.580002,75.599998,1812400,75.207588
2016-01-22,84.800003,87.019997,81.169998,84.370003,2023200,83.932071
2016-01-21,77.400002,82.190002,76.599998,80.470001,1945900,80.052313
2016-01-20,79.389999,79.889999,72.769997,77.660004,3013700,77.256901
2016-01-19,84.940002,85.260002,79.959999,81.190002,2232100,80.768577
2016-01-15,83.150002,84.769997,78.470001,84.32,2362800,83.882327
2016-01-14,81.129997,85.919998,79.589996,84.959999,2218600,84.519005
2016-01-13,81.43,83.489998,79.050003,80.089996,1691500,79.67428
2016-01-12,82.279999,82.959999,77.419998,80.07,1614500,79.654387
2016-01-11,82.629997,83.129997,79.410004,80.739998,1122600,80.320908
2016-01-08,82.489998,83.50,80.610001,82.32,1167100,81.892709
2016-01-07,82.800003,86.510002,81.480003,81.860001,1517700,81.435097
2016-01-06,87.580002,87.580002,84.440002,85.040001,1276600,84.598591
2016-01-05,91.129997,92.410004,89.169998,90.580002,1556900,90.109836
2016-01-04,89.199997,91.449997,87.489998,90.00,1110000,89.532845
2015-12-31,88.910004,90.760002,88.540001,89.379997,887400,88.91606
2015-12-30,88.57,90.709999,88.400002,89.510002,1149000,89.045391
2015-12-29,91.269997,92.25,88.620003,90.449997,1075700,89.980506
2015-12-28,89.919998,90.75,87.099998,89.300003,1305500,88.836481
2015-12-24,92.589996,92.779999,90.019997,91.599998,644600,91.124539
2015-12-23,87.480003,92.779999,86.25,92.279999,2628100,91.801009
2015-12-22,86.610001,88.400002,85.139999,85.269997,2892200,84.827393
2015-12-21,90.860001,91.699997,85.00,86.18,3330100,85.732673
2015-12-18,96.00,97.75,90.790001,90.82,2875200,90.348588
2015-12-17,100.800003,100.860001,94.43,95.739998,3041700,95.243049
2015-12-16,105.080002,105.080002,100.050003,100.559998,1288800,100.03803
2015-12-15,103.209999,105.400002,102.25,105.089996,994700,104.544515
2015-12-14,100.650002,104.779999,99.599998,102.190002,1650800,101.659574
2015-12-11,104.169998,104.879997,101.169998,101.370003,1299900,100.843831
2015-12-10,103.550003,107.419998,102.849998,106.419998,920000,105.867613
2015-12-09,105.589996,107.209999,103.050003,104.18,1215200,103.639242
2015-12-08,102.779999,106.129997,102.230003,104.910004,2009600,104.365457
2015-12-07,110.080002,110.669998,104.879997,105.970001,1929200,105.419952
2015-12-04,113.800003,115.480003,111.470001,113.800003,1209100,113.209312
2015-12-03,116.709999,117.790001,114.610001,115.370003,959700,114.771162
2015-12-02,121.199997,121.739998,114.93,115.870003,1207800,115.268567
2015-12-01,119.160004,122.410004,118.699997,122.290001,972900,121.655241
2015-11-30,119.00,120.300003,117.209999,119.019997,857000,118.40221
2015-11-27,119.239998,120.540001,116.93,118.029999,357400,117.417351
2015-11-25,120.57,122.699997,119.57,120.699997,771900,120.07349
2015-11-24,119.68,123.160004,118.980003,122.029999,1334200,121.396589
2015-11-23,114.68,119.43,113.589996,118.580002,1140300,117.964499
2015-11-20,115.629997,116.510002,113.790001,115.00,832200,114.40308
2015-11-19,117.43,118.809998,113.589996,115.32,841300,114.721418
2015-11-18,117.790001,119.160004,115.360001,118.629997,684700,118.014235
2015-11-17,116.25,118.300003,114.089996,116.519997,704900,115.915187
2015-11-16,113.029999,117.519997,112.32,117.379997,857100,116.770723
2015-11-13,112.449997,113.660004,110.400002,112.709999,988300,112.124965
2015-11-12,112.400002,114.839996,111.75,112.620003,1248700,112.035436
2015-11-11,117.589996,117.760002,114.32,115.50,1162500,114.900484
2015-11-10,116.489998,118.839996,115.43,117.620003,730700,117.009483
2015-11-09,118.199997,120.00,116.93,117.349998,976700,116.581711
2015-11-06,115.230003,119.099998,114.349998,117.760002,1154500,116.98903
2015-11-05,115.68,119.290001,114.830002,115.940002,1389400,115.180946
2015-11-04,120.720001,124.910004,116.040001,118.599998,1578400,117.823527
2015-11-03,118.620003,123.660004,117.879997,120.720001,1759900,119.92965
2015-11-02,118.160004,118.900002,116.970001,117.300003,1241400,116.532043
2015-10-30,118.199997,119.139999,114.830002,118.059998,991500,117.287062
2015-10-29,116.099998,119.470001,116.010002,117.809998,1085800,117.038699
2015-10-28,113.660004,117.650002,111.629997,116.529999,1157400,115.76708
2015-10-27,111.860001,113.209999,109.449997,112.989998,1219000,112.250255
2015-10-26,116.849998,116.93,113.809998,114.150002,875600,113.402664
2015-10-23,116.639999,118.709999,115.410004,117.029999,918900,116.263806
2015-10-22,115.610001,118.089996,114.910004,117.82,957500,117.048635
2015-10-21,115.019997,115.800003,113.650002,114.82,1033400,114.068276
2015-10-20,116.269997,117.809998,115.129997,115.779999,1103100,115.02199
2015-10-19,121.129997,121.970001,115.239998,116.529999,1543400,115.76708
2015-10-16,122.459999,123.849998,121.330002,122.959999,1191000,122.154983
2015-10-15,119.400002,122.120003,118.809998,121.879997,941100,121.082052
2015-10-14,118.650002,120.410004,117.540001,120.00,892900,119.214363
