Date,Open,High,Low,Close,Volume,Adj Close
2016-11-11,88.959999,91.230003,88.169998,91.199997,2941600,91.199997
2016-11-10,89.040001,92.800003,88.459999,89.50,4807100,89.50
2016-11-09,82.900002,90.07,82.699997,88.860001,9728900,88.860001
2016-11-08,75.400002,76.239998,74.43,75.870003,1815500,75.870003
2016-11-07,74.389999,76.160004,74.239998,76.110001,1697500,76.110001
2016-11-04,72.370003,73.75,71.550003,72.160004,1781500,72.160004
2016-11-03,71.309998,73.029999,70.739998,72.290001,2335500,72.290001
2016-11-02,72.610001,73.360001,70.580002,70.919998,2378300,70.919998
2016-11-01,75.889999,76.059998,72.260002,73.029999,1940300,73.029999
2016-10-31,75.599998,75.949997,74.900002,75.660004,1356500,75.660004
2016-10-28,76.360001,76.720001,74.860001,75.389999,1379700,75.389999
2016-10-27,76.589996,76.779999,75.400002,76.269997,1356300,76.269997
2016-10-26,75.919998,76.82,75.309998,76.190002,1833100,76.190002
2016-10-25,76.199997,77.480003,75.599998,76.489998,1920200,76.489998
2016-10-24,78.650002,78.650002,76.349998,76.57,2164700,76.57
2016-10-21,78.300003,79.800003,78.040001,79.18,1785400,79.18
2016-10-20,80.00,81.50,77.040001,79.129997,4256700,79.129997
2016-10-19,76.650002,76.849998,75.440002,75.580002,2728000,75.580002
2016-10-18,76.860001,77.220001,76.059998,76.440002,1767500,76.440002
2016-10-17,74.910004,76.019997,74.309998,75.699997,2203100,75.699997
2016-10-14,76.389999,76.900002,75.050003,75.269997,2688200,75.269997
2016-10-13,79.129997,79.160004,77.169998,78.209999,1542500,78.209999
2016-10-12,79.610001,80.559998,79.18,80.18,1067300,80.18
2016-10-11,81.279999,81.279999,78.940002,79.50,1341000,79.50
2016-10-10,81.389999,82.239998,80.690002,81.279999,1315200,81.279999
2016-10-07,82.830002,82.830002,80.419998,80.760002,2062400,80.760002
2016-10-06,80.639999,83.559998,80.639999,83.209999,2566500,83.209999
2016-10-05,79.980003,81.540001,79.629997,80.580002,2055400,80.580002
2016-10-04,80.150002,80.879997,78.830002,79.160004,1914400,79.160004
2016-10-03,78.379997,79.540001,78.019997,78.93,1656000,78.93
2016-09-30,77.110001,78.910004,76.860001,78.489998,2583900,78.489998
2016-09-29,75.00,76.980003,74.760002,76.339996,2519100,76.339996
2016-09-28,73.470001,75.290001,73.230003,75.139999,2526400,75.139999
2016-09-27,73.519997,73.949997,72.849998,73.220001,1914500,73.220001
2016-09-26,75.360001,76.00,73.82,73.949997,1993400,73.949997
2016-09-23,75.279999,77.239998,74.989998,75.550003,2156500,75.550003
2016-09-22,76.419998,76.889999,74.970001,75.389999,2320700,75.389999
2016-09-21,76.339996,76.970001,74.599998,75.660004,2634100,75.660004
