Date,Open,High,Low,Close,Volume,Adj Close
2015-10-22,96.32,99.639999,96.32,99.470001,2415900,96.482572
2015-10-21,97.00,97.169998,95.919998,96.059998,1474800,93.174983
2015-10-20,96.760002,97.139999,96.150002,96.910004,1795400,93.99946
2015-10-19,95.68,96.800003,95.68,96.790001,2177000,93.883061
2015-10-16,95.129997,96.260002,94.900002,96.129997,2337100,93.24288
2015-10-15,93.510002,94.699997,93.419998,94.650002,1612600,91.807334
2015-10-14,93.900002,93.989998,92.699997,93.059998,1964400,90.265083
2015-10-13,94.150002,94.739998,93.489998,93.699997,1742400,90.885861
2015-10-12,94.900002,95.209999,94.550003,94.800003,1157500,91.95283
2015-10-09,95.339996,95.690002,94.830002,94.940002,2183700,92.088625
2015-10-08,93.870003,95.760002,93.849998,95.57,2268700,92.699701
2015-10-07,93.75,94.239998,93.279999,94.239998,2502000,91.409644
2015-10-06,93.400002,93.699997,92.779999,93.370003,2794600,90.565778
2015-10-05,90.129997,93.610001,90.129997,93.459999,3042400,90.653071
2015-10-02,87.419998,89.800003,87.230003,89.739998,2474000,87.044794
2015-10-01,87.949997,88.989998,87.470001,88.379997,1704300,85.725639
2015-09-30,87.959999,88.040001,87.080002,87.980003,2234900,85.337659
2015-09-29,87.349998,87.75,86.830002,87.010002,2015900,84.39679
2015-09-28,88.519997,88.68,87.110001,87.209999,2178900,84.59078
2015-09-25,88.470001,89.610001,88.230003,88.839996,1843200,86.171823
2015-09-24,88.279999,88.480003,87.370003,88.029999,2001500,85.386153
2015-09-23,88.849998,89.199997,88.220001,88.709999,1224500,86.04573
2015-09-22,89.730003,89.910004,88.639999,89.050003,1470000,86.375523
2015-09-21,90.589996,90.779999,90.040001,90.389999,1360600,87.675274
2015-09-18,90.160004,91.400002,90.160004,90.489998,2946000,87.326087
2015-09-17,90.650002,93.019997,90.279999,91.519997,2441900,88.320073
2015-09-16,89.25,90.809998,89.25,90.599998,1788200,87.432242
2015-09-15,89.040001,89.809998,88.540001,89.550003,2037100,86.418958
2015-09-14,89.290001,89.440002,88.519997,88.830002,1681800,85.724132
2015-09-11,88.529999,89.290001,88.089996,89.260002,2080000,86.139097
2015-09-10,88.57,88.93,87.949997,88.32,3131000,85.231961
2015-09-09,91.089996,91.360001,88.519997,88.699997,2050600,85.598672
2015-09-08,90.32,90.769997,89.440002,90.050003,2199100,86.901476
2015-09-04,89.959999,90.400002,88.589996,89.019997,3065800,85.907483
2015-09-03,91.389999,92.00,90.790001,91.019997,1979400,87.837555
2015-09-02,91.089996,91.449997,89.980003,91.169998,2047500,87.982312
2015-09-01,90.370003,91.080002,89.660004,90.029999,3258800,86.882172
2015-08-31,93.279999,93.540001,92.120003,92.190002,2198600,88.966652
2015-08-28,93.879997,94.470001,92.970001,93.449997,2286800,90.182592
2015-08-27,92.389999,94.57,91.809998,93.870003,2877500,90.587913
2015-08-26,91.190002,91.760002,89.800003,91.529999,4163600,88.329725
2015-08-25,93.279999,93.709999,89.389999,89.510002,4352500,86.380356
2015-08-24,91.739998,93.809998,89.669998,91.940002,7386400,88.725393
2015-08-21,98.559998,99.150002,96.620003,96.699997,3397500,93.318959
2015-08-20,100.139999,100.260002,98.720001,98.849998,2195100,95.393787
2015-08-19,100.199997,101.029999,99.68,100.400002,1992500,96.889595
2015-08-18,101.269997,101.540001,100.339996,100.489998,1827300,96.976445
2015-08-17,100.82,101.540001,100.300003,101.449997,1865300,97.902879
2015-08-14,100.32,101.279999,99.75,101.080002,1574200,97.54582
2015-08-13,99.970001,101.080002,99.269997,100.25,2157200,96.744839
2015-08-12,100.360001,100.769997,99.150002,99.970001,2788300,96.47463
2015-08-11,100.18,101.169998,99.010002,101.00,2468500,97.468615
2015-08-10,99.739998,100.57,99.370003,100.489998,2724200,96.976445
2015-08-07,98.589996,99.709999,98.470001,99.650002,2977900,96.165819
2015-08-06,97.360001,98.589996,97.360001,98.360001,3543100,94.920921
2015-08-05,96.480003,96.989998,96.099998,96.639999,1888500,93.261059
2015-08-04,95.150002,96.599998,94.760002,96.120003,2261600,92.759243
2015-08-03,95.25,95.529999,94.849998,95.360001,2229500,92.025814
2015-07-31,95.029999,95.919998,94.849998,95.110001,2710900,91.784555
2015-07-30,96.040001,96.040001,94.75,94.949997,1746400,91.630146
2015-07-29,95.660004,97.470001,93.769997,96.32,3657700,92.952248
2015-07-28,96.589996,97.00,95.940002,96.68,2563500,93.299661
2015-07-27,96.760002,97.43,96.230003,96.480003,2057100,93.106657
2015-07-24,98.199997,98.309998,96.639999,96.790001,2360200,93.405816
2015-07-23,96.480003,98.099998,96.480003,98.00,3172800,94.573508
2015-07-22,96.809998,97.220001,96.290001,96.540001,1393100,93.164557
2015-07-21,96.82,97.760002,96.580002,96.949997,1652300,93.560217
2015-07-20,96.68,97.160004,96.099998,97.059998,2229000,93.666372
2015-07-17,97.739998,97.82,96.440002,96.949997,1588500,93.560217
2015-07-16,96.50,98.019997,96.370003,97.82,2632500,94.399801
2015-07-15,95.739998,96.080002,95.260002,95.949997,1683800,92.595182
2015-07-14,95.809998,96.269997,95.43,95.480003,1469000,92.141621
2015-07-13,96.040001,96.550003,95.309998,95.699997,1684400,92.353923
2015-07-10,94.830002,95.959999,94.419998,95.419998,1973000,92.083714
2015-07-09,95.309998,95.730003,94.099998,94.389999,1347800,91.089728
2015-07-08,95.18,95.599998,94.32,94.480003,1167200,91.176585
2015-07-07,95.540001,95.870003,94.50,95.629997,1601200,92.286371
2015-07-06,94.50,95.150002,94.50,94.980003,2076800,91.659103
2015-07-02,94.650002,95.099998,94.040001,94.910004,1856500,91.591551
2015-07-01,93.879997,94.080002,93.18,94.010002,1805600,90.723017
2015-06-30,93.650002,93.830002,92.970001,93.290001,2034200,90.02819
2015-06-29,94.139999,94.75,92.870003,92.940002,1569000,89.690429
2015-06-26,94.849998,94.870003,93.669998,94.239998,2707900,90.944971
2015-06-25,95.370003,96.970001,94.650002,94.739998,1299300,91.427489
2015-06-24,96.25,96.389999,95.080002,95.080002,1692600,91.755605
2015-06-23,95.07,96.349998,94.989998,96.25,1848100,92.884695
2015-06-22,96.260002,96.650002,95.699997,95.790001,1574200,92.44078
2015-06-19,96.260002,97.059998,95.970001,95.970001,3612200,92.614487
